name,system,body,engine_lon_deg,reference_lon_deg,difference_arcmin,tolerance_arcmin,passed,status,utc
Sydney_1999_12_31_2359,sidereal_fb,Moon,187.369112,187.369567,0.02729999999928623,30.0,True,PASS,1999-12-31T12:59:00Z
Sydney_1999_12_31_2359,sidereal_fb,Saturn,15.679252,15.678789,0.02777999999999281,1.0,True,PASS,1999-12-31T12:59:00Z
Sydney_1999_12_31_2359,sidereal_fb,Sun,254.654527,254.654012,0.030900000000428918,1.0,True,PASS,1999-12-31T12:59:00Z
Sydney_1999_12_31_2359,sidereal_fb,Venus,215.670879,215.670345,0.0320400000009613,1.0,True,PASS,1999-12-31T12:59:00Z
Sydney_1999_12_31_2359,tropical,Jupiter,25.219209,25.218678,0.031859999999923616,1.0,True,PASS,1999-12-31T12:59:00Z
Sydney_1999_12_31_2359,tropical,Mars,327.222609,327.223234,0.037500000000818545,1.0,True,PASS,1999-12-31T12:59:00Z
Sydney_1999_12_31_2359,tropical,Mercury,270.402874,270.403456,0.03492000000051121,1.0,True,PASS,1999-12-31T12:59:00Z
Sydney_1999_12_31_2359,tropical,Moon,212.109303,212.109789,0.029159999999706088,30.0,True,PASS,1999-12-31T12:59:00Z
Sydney_1999_12_31_2359,tropical,Saturn,40.419443,40.419901,0.02748000000011075,1.0,True,PASS,1999-12-31T12:59:00Z
Sydney_1999_12_31_2359,tropical,Sun,279.394718,279.394234,0.02904000000171436,1.0,True,PASS,1999-12-31T12:59:00Z
Sydney_1999_12_31_2359,tropical,Venus,240.41107,240.410567,0.03018000000054144,1.0,True,PASS,1999-12-31T12:59:00Z
Tokyo_1987_11_15_0600,sidereal_fb,Jupiter,356.76488,356.765345,0.02790000000118198,1.0,True,PASS,1987-11-14T21:00:00Z
Tokyo_1987_11_15_0600,sidereal_fb,Mars,179.388168,179.387234,0.056040000000052714,1.0,True,PASS,1987-11-14T21:00:00Z
Tokyo_1987_11_15_0600,sidereal_fb,Mercury,188.407085,188.407567,0.02892000000031203,1.0,True,PASS,1987-11-14T21:00:00Z
Tokyo_1987_11_15_0600,sidereal_fb,Moon,131.420613,131.419678,0.05609999999990123,30.0,True,PASS,1987-11-14T21:00:00Z
Tokyo_1987_11_15_0600,sidereal_fb,Saturn,235.427697,235.426789,0.05447999999887543,1.0,True,PASS,1987-11-14T21:00:00Z
Tokyo_1987_11_15_0600,sidereal_fb,Sun,207.380788,207.380345,0.02657999999939875,1.0,True,PASS,1987-11-14T21:00:00Z
Tokyo_1987_11_15_0600,sidereal_fb,Venus,229.011445,229.011901,0.027359999999134743,1.0,True,PASS,1987-11-14T21:00:00Z
Tokyo_1987_11_15_0600,tropical,Jupiter,21.335766,21.336234,0.028080000000088035,1.0,True,PASS,1987-11-14T21:00:00Z
Tokyo_1987_11_15_0600,tropical,Mars,203.959054,203.958123,0.05586000000050717,1.0,True,PASS,1987-11-14T21:00:00Z
Tokyo_1987_11_15_0600,tropical,Mercury,212.977971,212.978456,0.029099999999857573,1.0,True,PASS,1987-11-14T21:00:00Z
Tokyo_1987_11_15_0600,tropical,Moon,155.991499,155.990123,0.08255999999960295,30.0,True,PASS,1987-11-14T21:00:00Z
Tokyo_1987_11_15_0600,tropical,Saturn,259.998583,259.997456,0.06761999999980617,1.0,True,PASS,1987-11-14T21:00:00Z
Tokyo_1987_11_15_0600,tropical,Sun,231.951674,231.951234,0.026399999999853208,1.0,True,PASS,1987-11-14T21:00:00Z
Tokyo_1987_11_15_0600,tropical,Venus,253.582331,253.58289,0.033539999998879466,1.0,True,PASS,1987-11-14T21:00:00Z
