name,system,utc,body,lon_deg,lat_deg,distance
Boulder_2025_09_27_1200,tropical,2025-09-27T18:00:00Z,Sun,184.887464,-0.001455,1.00217479
Boulder_2025_09_27_1200,tropical,2025-09-27T18:00:00Z,Moon,250.828244,-5.68205,0.00271016
Boulder_2025_09_27_1200,tropical,2025-09-27T18:00:00Z,Mercury,195.950918,0.275701,1.38411011
Boulder_2025_09_27_1200,tropical,2025-09-27T18:00:00Z,Venus,160.07228,1.200963,1.49159603
Boulder_2025_09_27_1200,tropical,2025-09-27T18:00:00Z,Mars,213.657094,-0.044655,2.34828039
Boulder_2025_09_27_1200,tropical,2025-09-27T18:00:00Z,Jupiter,112.05323,0.014201,5.38357061
Boulder_2025_09_27_1200,tropical,2025-09-27T18:00:00Z,Saturn,358.004735,-2.511902,8.55312215
Boulder_2025_09_27_1200,sidereal_fb,2025-09-27T18:00:00Z,Sun,159.787914,-0.001455,1.00217479
Boulder_2025_09_27_1200,sidereal_fb,2025-09-27T18:00:00Z,Moon,225.728694,-5.68205,0.00271016
Boulder_2025_09_27_1200,sidereal_fb,2025-09-27T18:00:00Z,Mercury,170.851368,0.275701,1.38411011
Boulder_2025_09_27_1200,sidereal_fb,2025-09-27T18:00:00Z,Venus,134.97273,1.200963,1.49159603
Boulder_2025_09_27_1200,sidereal_fb,2025-09-27T18:00:00Z,Mars,188.557544,-0.044655,2.34828039
Boulder_2025_09_27_1200,sidereal_fb,2025-09-27T18:00:00Z,Jupiter,86.95368,0.014201,5.38357061
Boulder_2025_09_27_1200,sidereal_fb,2025-09-27T18:00:00Z,Saturn,332.905185,-2.511902,8.55312215
